代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
404003.NQ,鸿达退债,2025/02/14,6.202,0.0,0.0,0.0,9.202,3.0,48.37149307,61,0.821917808219,,195.6096500760704,1414.9165,67.299701426935,-58.097701426935,-86.32683384191488,3.91,25.57544757,,,,,,,,6.0,2019/12/13,0.4,代办转让,可转债,C,3.368671,0.0,私营
127100.SZ,神码转债,2025/02/14,147.45,148.05,176.94,146.947,176.94,29.49,20.0,56,0.076712328767,0.1150684931506849,0.0750970455119064,-8.6658,99.902973158957,77.037026841043,77.11184602931519,32.07,3.11817898,165.076395385095,11.863604614905,7.1867359275,29.7536,3.8283,-11.863604614905,165.2367193541274,6.0,2023/12/21,0.3,深交所,可转债,AA,12.325256,0.1804,私营
404004.NQ,汇车退债,2025/02/14,38.972,0.0,0.0,0.0,44.433,5.461,14.01262445,163,0.887671232877,1.5068493150684932,4.05104314360948,86.172,100.75978414362,-56.32678414362,-55.902049237554415,0.37,270.27027027,,,,,,,,6.0,2020/08/18,0.2,代办转让,可转债,A,27.101512,0.0001,私营
113601.SH,塞力转债,2025/02/14,106.547,106.55,122.0,106.55,114.407,7.86,7.3770261,178,1.219178082192,1.515068493150685,2.185180976688489,1.8021,99.482196232954,14.924803767046,15.002487210975024,12.0,8.33333333,80.833333333333,33.573666666667,41.5344329897,-24.8003,1.9004,-33.573666666667,81.25406996850813,6.0,2020/08/21,0.5,上交所,可转债,BB+,4.18168,0.5206,私营
111011.SH,冠盛转债,2025/02/14,179.999,179.131,200.46,179.088,192.489,12.49,6.93892744,43,0.094246575342,0.4520547945205479,0.235701068703661,-11.7423,99.265374744708,93.223625255292,93.91353782227263,17.01,5.87889477,186.596119929453,5.892880070547,3.1580935728,19.6484,2.6081,-5.892880070547,187.97704678931936,6.0,2023/01/03,0.3,上交所,可转债,AA-,3.4279,0.0001,中外合资
118021.SH,新致转债,2025/02/14,236.021,236.0,262.0,234.0,252.201,16.18,6.8553222,141,0.386301369863,3.616438356164384,0.3965091335878922,-19.4291,90.509228164541,161.691771835459,178.6467248858999,10.56,9.46969697,254.545454545455,-2.344454545455,-0.9210357143,165.4846,5.2297,2.344454545455,281.23701826592173,6.0,2022/09/27,0.5,上交所,可转债,A,1.99238,0.3151,私营
110062.SH,烽火转债,2025/02/14,121.835,121.799,129.5,121.21,129.473,7.638,6.26913449,75,0.41095890411,0.7972602739726027,4.634170830984066,-22.7399,104.46114219949,25.01185780051,23.943695496594053,22.55,4.4345898,112.062084257206,17.410915742794,15.5368480412,57.0464,2.3598,-17.410915742794,107.27633443180282,6.0,2019/11/28,0.2,上交所,可转债,AAA,30.87575,0.4727,中央企业
123235.SZ,亿田转债,2025/02/14,135.5,134.95,162.6,134.511,143.605,8.105,5.98154982,56,0.076712328767,4.849315068493151,0.3481772918770238,-3.695,102.48240331776,41.12259668224,40.12649523326853,28.61,3.49528137,115.34428521496,28.26071478504,24.5011833333,-310.5274,3.5172,-28.26071478504,112.55033203829156,6.0,2023/12/21,0.3,深交所,可转债,AA-,5.18305,0.3197,私营
128122.SZ,兴森转债,2025/02/14,121.5,121.5,129.109,121.5,128.35,6.85,5.63786008,207,1.134246575342,0.4356164383561643,7.791195948578106,-32.8199,109.07628760862,19.27371239138,17.669937998382014,13.38,7.47384155,94.24514200299,34.10485799701,36.1873909596,-505.6435,4.2051,-34.10485799701,86.40296078021457,5.0,2020/07/23,0.3,深交所,可转债,AA,2.678254,0.8644,私营
127091.SZ,科数转债,2025/02/14,136.9,137.886,147.66,137.301,144.3,7.4,5.40540541,176,0.241095890411,0.1671232876712328,0.224038580202966,-4.834,99.993506115959,44.306493884041,44.309371283231435,27.65,3.61663653,137.974683544304,6.325316455696,4.5844036697,55.4752,4.0158,-6.325316455696,137.98364404214365,6.0,2023/08/23,0.3,深交所,可转债,AA,14.917888,0.0001,私营
123210.SZ,信服转债,2025/02/14,121.293,121.292,130.5,120.865,127.56,6.267,5.16682743,203,0.222465753425,4.446575342465754,0.3135779241141424,-2.8334,102.10464086616,25.45535913384,24.930658310827607,110.97,0.90114445,95.151842840407,32.408157159593,34.0594109291,-57.6367,5.4339,-32.408157159593,93.19051713343096,6.0,2023/07/27,0.3,深交所,可转债,AA,12.146668,0.3162,私营
123131.SZ,奥飞转债,2025/02/14,160.852,163.001,171.499,158.9,168.888,8.036,4.99589685,74,0.364931506849,2.8,1.0657950831320164,-11.8594,103.73888476321,65.14911523679,62.80105611844258,10.07,9.93048659,166.236345580933,2.651654419067,1.5951111111,115.8406,5.2631,-2.651654419067,160.2449707844624,6.0,2021/12/03,0.5,深交所,可转债,A+,3.931435,0.0001,私营
